date,Precio del cobre refinado BML (dólar-libra)
2020-01-01,
2020-01-02,2.8069
2020-01-03,2.7892
2020-01-04,2.7892
2020-01-05,2.7892
2020-01-06,2.7957
2020-01-07,2.7688
2020-01-08,2.7735
2020-01-09,2.7794
2020-01-10,2.7907
2020-01-11,2.7907
2020-01-12,2.7907
2020-01-13,2.7908
2020-01-14,2.7997
2020-01-15,2.8419
2020-01-16,2.8441
2020-01-17,2.8361
2020-01-18,2.8361
2020-01-19,2.8361
2020-01-20,2.8354
2020-01-21,2.8337
2020-01-22,2.8274
2020-01-23,2.7799
2020-01-24,2.755
2020-01-25,2.755
2020-01-26,2.755
2020-01-27,2.7016
2020-01-28,2.6761
2020-01-29,2.5925
2020-01-30,2.5742
2020-01-31,2.5459
2020-02-01,2.5459
2020-02-02,2.5459
2020-02-03,2.5257
2020-02-04,2.518
2020-02-05,2.4964
2020-02-06,2.5376
2020-02-07,2.5871
2020-02-08,2.5871
2020-02-09,2.5871
2020-02-10,2.5956
2020-02-11,2.562
2020-02-12,2.5636
2020-02-13,2.5988
2020-02-14,2.6068
2020-02-15,2.6068
2020-02-16,2.6068
2020-02-17,2.6183
2020-02-18,2.6085
2020-02-19,2.6294
2020-02-20,2.6065
2020-02-21,2.6063
2020-02-22,2.6063
2020-02-23,2.6063
2020-02-24,2.5891
2020-02-25,2.6064
2020-02-26,2.57
2020-02-27,2.5686
2020-02-28,2.5607
2020-02-29,2.5607
2020-03-01,2.5607
2020-03-02,2.5393
2020-03-03,2.548
2020-03-04,2.5768
2020-03-05,2.5613
2020-03-06,2.5689
2020-03-07,2.5689
2020-03-08,2.5689
2020-03-09,2.5652
2020-03-10,2.5352
2020-03-11,2.5045
2020-03-12,2.5201
2020-03-13,2.5042
2020-03-14,2.5042
2020-03-15,2.5042
2020-03-16,2.4607
2020-03-17,2.4711
2020-03-18,2.3932
2020-03-19,2.3263
2020-03-20,2.1453
2020-03-21,2.1453
2020-03-22,2.1453
2020-03-23,2.1865
2020-03-24,2.1796
2020-03-25,2.0979
2020-03-26,2.1823
2020-03-27,2.1982
2020-03-28,2.1982
2020-03-29,2.1982
2020-03-30,2.1722
2020-03-31,2.1693
2020-04-01,2.1593
2020-04-02,2.2402
2020-04-03,2.1706
2020-04-04,2.1706
2020-04-05,2.1706
2020-04-06,2.2133
2020-04-07,2.1882
2020-04-08,2.209
2020-04-09,2.2765
2020-04-10,2.2765
2020-04-11,2.2765
2020-04-12,2.2765
2020-04-13,2.2581
2020-04-14,2.2648
2020-04-15,2.2648
2020-04-16,2.3288
2020-04-17,2.3052
2020-04-18,2.3052
2020-04-19,2.3052
2020-04-20,2.3216
2020-04-21,2.356
2020-04-22,2.3402
2020-04-23,2.2682
2020-04-24,2.3175
2020-04-25,2.3175
2020-04-26,2.3175
2020-04-27,2.3294
2020-04-28,2.3218
2020-04-29,2.3456
2020-04-30,2.3564
2020-05-01,2.3564
2020-05-02,2.3564
2020-05-03,2.3564
2020-05-04,2.3737
2020-05-05,2.3047
2020-05-06,2.3107
2020-05-07,2.3258
2020-05-08,2.344
2020-05-09,2.344
2020-05-10,2.344
2020-05-11,2.3783
2020-05-12,2.3783
2020-05-13,2.3695
2020-05-14,2.3712
2020-05-15,2.3546
2020-05-16,2.3546
2020-05-17,2.3546
2020-05-18,2.3468
2020-05-19,2.3387
2020-05-20,2.4004
2020-05-21,2.4004
2020-05-22,2.4161
2020-05-23,2.4161
2020-05-24,2.4161
2020-05-25,2.433
2020-05-26,2.3858
2020-05-27,2.3858
2020-05-28,2.4164
2020-05-29,2.3708
2020-05-30,2.3708
2020-05-31,2.3708
2020-06-01,2.4066
2020-06-02,2.4278
2020-06-03,2.4758
2020-06-04,2.4978
2020-06-05,2.4944
2020-06-06,2.4944
2020-06-07,2.4944
2020-06-08,2.5003
2020-06-09,2.5716
2020-06-10,2.5767
2020-06-11,2.6098
2020-06-12,2.6694
2020-06-13,2.6694
2020-06-14,2.6694
2020-06-15,2.6043
2020-06-16,2.6134
2020-06-17,2.5759
2020-06-18,2.5848
2020-06-19,2.6041
2020-06-20,2.6041
2020-06-21,2.6041
2020-06-22,2.6234
2020-06-23,2.6441
2020-06-24,2.6585
2020-06-25,2.6726
2020-06-26,2.6565
2020-06-27,2.6565
2020-06-28,2.6565
2020-06-29,2.6565
2020-06-30,2.6687
2020-07-01,2.6996
2020-07-02,2.7236
2020-07-03,2.7446
2020-07-04,2.7446
2020-07-05,2.7446
2020-07-06,2.7538
2020-07-07,2.7322
2020-07-08,2.7829
2020-07-09,2.8054
2020-07-10,2.826
2020-07-11,2.826
2020-07-12,2.826
2020-07-13,2.8578
2020-07-14,2.9114
2020-07-15,2.9847
2020-07-16,2.9847
2020-07-17,2.9463
2020-07-18,2.9463
2020-07-19,2.9463
2020-07-20,2.9201
2020-07-21,2.9284
2020-07-22,2.9458
2020-07-23,2.9685
2020-07-24,2.9497
2020-07-25,2.9497
2020-07-26,2.9497
2020-07-27,2.9801
2020-07-28,2.9167
2020-07-29,2.915
2020-07-30,2.9438
2020-07-31,2.9402
2020-08-01,2.9402
2020-08-02,2.9402
2020-08-03,2.922
2020-08-04,2.913
2020-08-05,2.9461
2020-08-06,2.9271
2020-08-07,2.9478
2020-08-08,2.9478
2020-08-09,2.9478
2020-08-10,2.9392
2020-08-11,2.8613
2020-08-12,2.9002
2020-08-13,2.8947
2020-08-14,2.9187
2020-08-15,2.9187
2020-08-16,2.9187
2020-08-17,2.8411
2020-08-18,2.8929
2020-08-19,2.926
2020-08-20,2.9851
2020-08-21,3.0385
2020-08-22,3.0385
2020-08-23,3.0385
2020-08-24,3.0018
2020-08-25,2.9536
2020-08-26,2.9637
2020-08-27,2.9694
2020-08-28,3.0005
2020-08-29,3.0005
2020-08-30,3.0005
2020-08-31,3.0122
2020-09-01,3.038
2020-09-02,3.038
2020-09-03,3.0431
2020-09-04,3.0435
2020-09-05,3.0435
2020-09-06,3.0435
2020-09-07,2.9822
2020-09-08,3.0525
2020-09-09,3.0893
2020-09-10,3.0369
2020-09-11,3.0656
2020-09-12,3.0656
2020-09-13,3.0656
2020-09-14,3.0346
2020-09-15,3.071
2020-09-16,3.091
2020-09-17,3.0744
2020-09-18,3.0744
2020-09-19,3.0744
2020-09-20,3.0744
2020-09-21,3.0815
2020-09-22,3.1084
2020-09-23,3.0475
2020-09-24,3.0881
2020-09-25,3.0015
2020-09-26,3.0015
2020-09-27,3.0015
2020-09-28,2.9607
2020-09-29,2.9681
2020-09-30,2.9754
2020-10-01,2.9819
2020-10-02,3.0246
2020-10-03,3.0246
2020-10-04,3.0246
2020-10-05,2.8916
2020-10-06,2.9696
2020-10-07,2.9548
2020-10-08,2.9546
2020-10-09,3.0238
2020-10-10,3.0238
2020-10-11,3.0238
2020-10-12,3.0238
2020-10-13,3.0292
2020-10-14,3.0518
2020-10-15,3.0308
2020-10-16,3.0402
2020-10-17,3.0402
2020-10-18,3.0402
2020-10-19,3.0564
2020-10-20,3.0499
2020-10-21,3.0657
2020-10-22,3.1203
2020-10-23,3.1651
2020-10-24,3.1651
2020-10-25,3.1651
2020-10-26,3.133
2020-10-27,3.1082
2020-10-28,3.0667
2020-10-29,3.0748
2020-10-30,3.0527
2020-10-31,3.0527
2020-11-01,3.0527
2020-11-02,3.0466
2020-11-03,3.0425
2020-11-04,3.0631
2020-11-05,3.0876
2020-11-06,3.0974
2020-11-07,3.0974
2020-11-08,3.0974
2020-11-09,3.1039
2020-11-10,3.1457
2020-11-11,3.1313
2020-11-12,3.1358
2020-11-13,3.1144
2020-11-14,3.1144
2020-11-15,3.1144
2020-11-16,3.137
2020-11-17,3.1599
2020-11-18,3.2173
2020-11-19,3.1965
2020-11-20,3.2067
2020-11-21,3.2067
2020-11-22,3.2067
2020-11-23,3.2098
2020-11-24,3.2942
2020-11-25,3.2487
2020-11-26,3.3018
2020-11-27,3.3037
2020-11-28,3.3037
2020-11-29,3.3037
2020-11-30,3.3507
2020-12-01,3.3963
2020-12-02,3.4334
2020-12-03,3.4873
2020-12-04,3.4775
2020-12-05,3.4775
2020-12-06,3.4775
2020-12-07,3.4784
2020-12-08,3.4784
2020-12-09,3.5157
2020-12-10,3.4832
2020-12-11,3.4952
2020-12-12,3.4952
2020-12-13,3.4952
2020-12-14,3.5656
2020-12-15,3.5176
2020-12-16,3.5059
2020-12-17,3.5203
2020-12-18,3.5442
2020-12-19,3.5442
2020-12-20,3.5442
2020-12-21,3.5835
2020-12-22,3.6146
2020-12-23,3.55
2020-12-24,3.5034
2020-12-25,3.5034
2020-12-26,3.5034
2020-12-27,3.5034
2020-12-28,3.5503
2020-12-29,3.5248
2020-12-30,3.5248
2020-12-31,3.5248
2021-01-01,3.5248
2021-01-02,3.5248
2021-01-03,3.5248
2021-01-04,3.5586
2021-01-05,3.5149
2021-01-06,3.558
2021-01-07,3.6263
2021-01-08,3.6426
2021-01-09,3.6426
2021-01-10,3.6426
2021-01-11,3.7045
2021-01-12,3.6823
2021-01-13,3.5606
2021-01-14,3.6127
2021-01-15,3.6263
2021-01-16,3.6263
2021-01-17,3.6263
2021-01-18,3.6467
2021-01-19,3.6004
2021-01-20,3.6143
2021-01-21,3.6067
2021-01-22,3.647
2021-01-23,3.647
2021-01-24,3.647
2021-01-25,3.6352
2021-01-26,3.6258
2021-01-27,3.6131
2021-01-28,3.6321
2021-01-29,3.5477
2021-01-30,3.5477
2021-01-31,3.5477
2021-02-01,3.5742
2021-02-02,3.5664
2021-02-03,3.5406
2021-02-04,3.5322
2021-02-05,3.5614
2021-02-06,3.5614
2021-02-07,3.5614
