date,Tipo de cambio dólar,Precio del cobre refinado BML (dólar-libra),Tasa de política monetaria (TPM),Unidad de fomento (UF),Imacec (Base 2018 = 100),IPC General (Base 2023 = 100)
2020-01-01,,,,28310.86,99.726585989509,104.24
2020-01-02,748.74,2.8069,1.75,28311.77,99.726585989509,104.24
2020-01-03,754.16,2.7892,1.75,28312.68,99.726585989509,104.24
2020-01-04,754.16,2.7892,1.75,28313.6,99.726585989509,104.24
2020-01-05,754.16,2.7892,1.75,28314.51,99.726585989509,104.24
2020-01-06,758.49,2.7957,1.75,28315.42,99.726585989509,104.24
2020-01-07,771.82,2.7688,1.75,28316.33,99.726585989509,104.24
2020-01-08,773.12,2.7735,1.75,28317.25,99.726585989509,104.24
2020-01-09,766.83,2.7794,1.75,28318.16,99.726585989509,104.24
2020-01-10,764.69,2.7907,1.75,28319.07,99.726585989509,104.24
2020-01-11,764.69,2.7907,1.75,28319.99,99.726585989509,104.24
2020-01-12,764.69,2.7907,1.75,28320.9,99.726585989509,104.24
2020-01-13,770.56,2.7908,1.75,28321.81,99.726585989509,104.24
2020-01-14,777.66,2.7997,1.75,28322.73,99.726585989509,104.24
2020-01-15,772.29,2.8419,1.75,28323.64,99.726585989509,104.24
2020-01-16,772.01,2.8441,1.75,28324.55,99.726585989509,104.24
2020-01-17,773.36,2.8361,1.75,28325.47,99.726585989509,104.24
2020-01-18,773.36,2.8361,1.75,28326.38,99.726585989509,104.24
2020-01-19,773.36,2.8361,1.75,28327.29,99.726585989509,104.24
2020-01-20,771.38,2.8354,1.75,28328.21,99.726585989509,104.24
2020-01-21,769.93,2.8337,1.75,28329.12,99.726585989509,104.24
2020-01-22,770.5,2.8274,1.75,28330.03,99.726585989509,104.24
2020-01-23,772.12,2.7799,1.75,28330.95,99.726585989509,104.24
2020-01-24,771.94,2.755,1.75,28331.86,99.726585989509,104.24
2020-01-25,771.94,2.755,1.75,28332.77,99.726585989509,104.24
2020-01-26,771.94,2.755,1.75,28333.69,99.726585989509,104.24
2020-01-27,776.52,2.7016,1.75,28334.6,99.726585989509,104.24
2020-01-28,787.86,2.6761,1.75,28335.51,99.726585989509,104.24
2020-01-29,788.13,2.5925,1.75,28336.43,99.726585989509,104.24
2020-01-30,788.18,2.5742,1.75,28337.34,99.726585989509,104.24
2020-01-31,797.96,2.5459,1.75,28338.25,99.726585989509,104.24
2020-02-01,797.96,2.5459,1.75,28339.17,95.777693546887,104.71
2020-02-02,797.96,2.5459,1.75,28340.08,95.777693546887,104.71
2020-02-03,799.11,2.5257,1.75,28341.0,95.777693546887,104.71
2020-02-04,790.92,2.518,1.75,28341.91,95.777693546887,104.71
2020-02-05,781.78,2.4964,1.75,28342.82,95.777693546887,104.71
2020-02-06,776.99,2.5376,1.75,28343.74,95.777693546887,104.71
2020-02-07,779.12,2.5871,1.75,28344.65,95.777693546887,104.71
2020-02-08,779.12,2.5871,1.75,28345.56,95.777693546887,104.71
2020-02-09,779.12,2.5871,1.75,28346.48,95.777693546887,104.71
2020-02-10,788.8,2.5956,1.75,28352.33,95.777693546887,104.71
2020-02-11,795.88,2.562,1.75,28358.18,95.777693546887,104.71
2020-02-12,792.48,2.5636,1.75,28364.03,95.777693546887,104.71
2020-02-13,788.33,2.5988,1.75,28369.88,95.777693546887,104.71
2020-02-14,795.12,2.6068,1.75,28375.73,95.777693546887,104.71
2020-02-15,795.12,2.6068,1.75,28381.59,95.777693546887,104.71
2020-02-16,795.12,2.6068,1.75,28387.44,95.777693546887,104.71
2020-02-17,792.73,2.6183,1.75,28393.3,95.777693546887,104.71
2020-02-18,791.95,2.6085,1.75,28399.15,95.777693546887,104.71
2020-02-19,796.9,2.6294,1.75,28405.01,95.777693546887,104.71
2020-02-20,797.4,2.6065,1.75,28410.87,95.777693546887,104.71
2020-02-21,804.74,2.6063,1.75,28416.73,95.777693546887,104.71
2020-02-22,804.74,2.6063,1.75,28422.6,95.777693546887,104.71
2020-02-23,804.74,2.6063,1.75,28428.46,95.777693546887,104.71
2020-02-24,809.82,2.5891,1.75,28434.32,95.777693546887,104.71
2020-02-25,810.2,2.6064,1.75,28440.19,95.777693546887,104.71
2020-02-26,807.96,2.57,1.75,28446.06,95.777693546887,104.71
2020-02-27,811.1,2.5686,1.75,28451.93,95.777693546887,104.71
2020-02-28,816.26,2.5607,1.75,28457.8,95.777693546887,104.71
2020-02-29,816.26,2.5607,1.75,28463.67,95.777693546887,104.71
2020-03-01,816.26,2.5607,1.75,28469.54,102.04995529307,105.06
2020-03-02,818.32,2.5393,1.75,28475.41,102.04995529307,105.06
2020-03-03,817.45,2.548,1.75,28481.29,102.04995529307,105.06
2020-03-04,809.81,2.5768,1.75,28487.16,102.04995529307,105.06
2020-03-05,812.19,2.5613,1.75,28493.04,102.04995529307,105.06
2020-03-06,823.28,2.5689,1.75,28498.92,102.04995529307,105.06
2020-03-07,823.28,2.5689,1.75,28504.8,102.04995529307,105.06
2020-03-08,823.28,2.5689,1.75,28510.68,102.04995529307,105.06
2020-03-09,828.95,2.5652,1.75,28516.56,102.04995529307,105.06
2020-03-10,841.06,2.5352,1.75,28520.23,102.04995529307,105.06
2020-03-11,834.22,2.5045,1.75,28523.91,102.04995529307,105.06
2020-03-12,835.48,2.5201,1.75,28527.58,102.04995529307,105.06
2020-03-13,852.06,2.5042,1.75,28531.25,102.04995529307,105.06
2020-03-14,852.06,2.5042,1.75,28534.93,102.04995529307,105.06
2020-03-15,852.06,2.5042,1.75,28538.6,102.04995529307,105.06
2020-03-16,836.66,2.4607,1.75,28542.28,102.04995529307,105.06
2020-03-17,850.51,2.4711,1.0,28545.95,102.04995529307,105.06
